NAME_0,NAME_1,NAME_2,ID_2,Mean_LST_001,Mean_LST_009,Mean_LST_017,Mean_LST_025,Mean_LST_033,Mean_LST_041,Mean_LST_049,Mean_LST_057,Mean_LST_065,Mean_LST_073,Mean_LST_081,Mean_LST_089,Mean_LST_097,Mean_LST_105,Mean_LST_113,Mean_LST_121,Mean_LST_129,Mean_LST_137,Mean_LST_145,Mean_LST_153,Mean_LST_161,Mean_LST_169,Mean_LST_177,Mean_LST_185,Mean_LST_193,Mean_LST_201,Mean_LST_209,Mean_LST_217,Mean_LST_225,Mean_LST_233,Mean_LST_241,Mean_LST_249,Mean_LST_257,Mean_LST_265,Mean_LST_273,Mean_LST_281,Mean_LST_289,Mean_LST_297,Mean_LST_305,Mean_LST_313,Mean_LST_321,Mean_LST_329,Mean_LST_337,Mean_LST_345,Mean_LST_353,Mean_LST_361
Uganda,Adjumani,East Moyo,UGA.1.1_1,40.59871057,39.1736746,40.5452518,42.63342003,43.69863309,44.31820144,43.27001107,42.67534588,44.31620919,43.18131157,42.54217488,40.03802435,42.44309353,37.80355838,36.11220255,34.33283343,35.35401771,32.19667405,31.79423907,31.48207526,30.88063641,29.95539015,29.45090758,30.09489209,29.86885999,29.99769231,29.6423409,29.72061428,30.26691201,30.05900941,29.90487548,30.99109574,31.06370227,31.57106253,31.71071942,31.54425567,31.59687327,31.09841173,31.63729386,31.96198672,32.43098506,32.74405645,34.88225235,35.96588268,37.69316547,38.59032097
Uganda,Apac,Kole,UGA.2.1_1,39.2133758,39.31563694,40.37207006,41.12649682,42.57171975,43.70248408,41.8611465,43.9933758,44.88127389,44.93057325,43.92796178,41.42993631,44.28665605,42.31914013,36.19936306,35.94630573,34.82815287,34.68630573,32.86426752,33.0383121,33.84789809,33.4016879,33.6310828,31.65280255,31.96401274,32.74538217,33.17464968,32.74401274,33.80675159,33.00675159,32.99194268,33.06286624,33.33098726,34.89267516,35.06541401,33.63914013,33.25401274,31.69085987,31.96872611,32.52624204,32.66025478,34.35808917,35.1043949,35.52025478,36.86732484,36.96694268
Uganda,Apac,Kwania,UGA.2.2_1,37.90535354,37.60122995,38.48023173,39.68108734,41.01651218,42.124082,42.004082,41.56481878,41.8957041,43.09860368,41.73722519,38.91863933,42.66062389,40.3565003,35.91262626,35.28496138,34.1281937,34.43421866,32.76771836,32.33282828,32.90461676,31.44864528,32.09163993,31.97670232,32.92788473,33.87635769,33.71802139,35.11894831,32.98235888,33.18806298,32.77793821,33.2899287,33.55272133,33.18915627,33.03985146,33.29240048,33.83236482,31.6538978,32.11602496,34.20310755,34.11226976,34.52182412,34.39797386,35.16246583,36.13539513,35.93097445
Uganda,Apac,Maruzi,UGA.2.3_1,40.10374532,38.28488764,38.85116105,40.34803371,41.81494382,41.88801498,43.32614232,41.50235955,42.7076779,43.17681648,42.19505618,38.80264045,41.44764045,38.4859176,33.98337079,33.78629213,32.59539326,33.67533708,31.87101124,31.69393258,32.38812734,31.4006367,31.92044944,32.85333333,32.47670412,33.57116105,32.70973783,34.1952809,33.32644195,32.66001873,31.99172285,31.76889513,31.75692884,31.74973783,31.87707865,32.08303371,32.78307116,31.02367041,31.02196629,32.88279026,32.22968165,33.32462547,33.45410112,34.81509363,36.49895131,36.75749064
Uganda,Apac,Oyam,UGA.2.4_1,40.03722505,38.35860274,39.96927984,41.03495499,42.21604305,43.00367515,42.48791781,43.21345988,44.10495108,44.29219178,42.91553425,40.03619178,42.33208219,38.76182779,35.09,35.73776517,33.1048728,33.84741683,31.75933855,31.98734638,31.92810568,31.58136595,32.04301761,32.45256751,32.03140117,32.84088845,32.75353033,32.2184227,33.10640705,32.50780039,32.08738552,33.11392172,31.93599609,32.8244501,34.09621526,32.16262622,33.53342857,31.20973386,31.10650098,32.94224266,32.12993738,33.03601957,35.2267045,36.10357339,36.7618591,36.99525245
Uganda,Arua,Arua Municipality,UGA.3.1_1,34.65307692,36.28076923,36.59461538,37.15307692,38.25769231,38.62692308,39.54692308,38.83461538,39.90230769,40.58846154,40.02230769,38.35153846,38.36230769,37.33769231,37.01769231,38.02230769,35.38384615,37.93615385,34.47461538,34.34230769,34.14076923,31.97615385,30.75153846,31.88538462,30.34076923,31.93769231,30.92384615,31.32230769,33.43461538,32.11,32.81153846,33.77461538,34.83769231,33.26692308,34.50076923,33.02538462,31.85,32.29923077,31.81461538,33.63,33.15153846,31.93307692,32.78538462,34.08692308,33.38384615,34.57923077
Uganda,Arua,Ayivu,UGA.3.2_1,36.07888393,37.51075893,37.67174107,38.67607143,39.30330357,40.53803571,40.59736607,40.45504464,40.79803571,42.21111607,40.41924107,39.10790179,40.29870536,38.71290179,37.86366071,37.51808036,36.24598214,36.33120536,35.01464286,34.33129464,33.56370536,33.07245536,31.4775,31.9525,32.62763393,32.14339286,30.67339286,31.11410714,31.90915179,31.2934375,31.14352679,32.550625,33.14227679,32.24066964,33.08116071,32.27196429,31.16915179,31.15495536,31.8296875,32.62410714,32.99401786,32.74303571,33.32580357,35.12776786,34.44642857,35.69575893
Uganda,Arua,Koboko,UGA.3.3_1,35.8139229,37.27297052,37.29346939,39.4214059,39.45145125,41.00566893,41.20251701,40.38331066,41.84163265,40.51056689,40.75557823,39.86653061,40.55795918,37.288322,37.33582766,36.00281179,36.59229025,34.64315193,33.08274376,32.45176871,31.98875283,30.37034014,30.58825397,30.54136054,29.88428571,29.38687075,29.12739229,30.47605442,29.83696145,30.49655329,30.64487528,30.70238095,32.0737415,31.01986395,31.51809524,31.25326531,30.35657596,30.30036281,31.20546485,32.13582766,31.52380952,31.45174603,32.11662132,34.2229932,33.91866213,35.48507937
Uganda,Arua,Madi-Okollo,UGA.3.4_1,40.04255891,40.34655229,41.41959074,43.00530384,43.79921869,44.15334849,44.59653989,44.32541959,45.67424142,46.31553121,43.4188301,43.80345184,46.55999587,41.37428276,40.41206697,39.72824721,40.31863993,38.0970277,37.95766432,38.84159983,36.12411327,34.18860273,34.38564283,34.6995246,35.56646135,34.73213311,33.67450599,32.23106656,34.52735428,33.48943778,32.87986358,34.20169905,33.39842497,34.14891691,34.1229227,34.68966928,32.6422778,31.77811906,32.10400579,33.41248036,33.49019843,35.16755271,35.33767259,36.81358826,37.84905746,39.17148822
Uganda,Arua,Maracha,UGA.3.5_1,36.35223077,37.63688462,37.70119231,38.37088462,39.98957692,41.81480769,40.85426923,40.11665385,40.98757692,41.99196154,39.87292308,39.11553846,40.82057692,38.62726923,38.02907692,37.94703846,38.1845,36.4425,34.37257692,34.47296154,35.40134615,31.87142308,31.34142308,31.88607692,32.44930769,31.13888462,30.17261538,30.95588462,31.59088462,31.78615385,31.38138462,32.28242308,32.08573077,32.74153846,32.78346154,32.20646154,31.72784615,31.93096154,32.40303846,32.26903846,33.11473077,32.69515385,33.81846154,35.19046154,34.66815385,36.34257692
