NAME_0,NAME_1,NAME_2,ID_2,Mean_LST_001,Mean_LST_009,Mean_LST_017,Mean_LST_025,Mean_LST_033,Mean_LST_041,Mean_LST_049,Mean_LST_057,Mean_LST_065,Mean_LST_073,Mean_LST_081,Mean_LST_089,Mean_LST_097,Mean_LST_105,Mean_LST_113,Mean_LST_121,Mean_LST_129,Mean_LST_137,Mean_LST_145,Mean_LST_153,Mean_LST_161,Mean_LST_169,Mean_LST_177,Mean_LST_185,Mean_LST_193,Mean_LST_201,Mean_LST_209,Mean_LST_217,Mean_LST_225,Mean_LST_233,Mean_LST_241,Mean_LST_249,Mean_LST_257,Mean_LST_265,Mean_LST_273,Mean_LST_281,Mean_LST_289,Mean_LST_297,Mean_LST_305,Mean_LST_313,Mean_LST_321,Mean_LST_329,Mean_LST_337,Mean_LST_345,Mean_LST_353,Mean_LST_361
Uganda,Adjumani,East Moyo,UGA.1.1_1,32.9876425,33.69358605,34.93296624,36.37177089,36.56194245,37.51919757,36.98356945,36.93792474,38.47434975,36.77351965,35.25305479,34.08114555,34.03662977,31.68236303,30.49011068,29.82737687,29.343171,28.75193691,28.4068124,28.44216381,27.59536801,26.83654123,26.96679026,26.96349198,26.89356392,27.30881572,26.96856115,27.19550083,27.12506364,27.30321527,27.587399,27.83696182,28.09856669,28.19083011,28.41112894,28.23541229,28.33347537,27.94691201,28.21925291,28.34666851,28.80377975,29.13347537,29.67322081,30.28123409,30.8936746,31.58197565
Uganda,Apac,Kole,UGA.2.1_1,32.49808917,33.10802548,33.7683121,35.42031847,35.39477707,36.77840764,36.04146497,36.67171975,36.95127389,36.57509554,34.80426752,34.37528662,33.82436306,31.97423567,31.05191083,29.75643312,29.52646497,29.68324841,29.17235669,29.0583121,28.72573248,28.36522293,28.37643312,27.99754777,28.28178344,28.55140127,28.23009554,28.42566879,28.33191083,28.80605096,29.38621019,29.31624204,29.38754777,29.80363057,30.19082803,29.50888535,29.10382166,28.5256051,28.54101911,28.57283439,28.82111465,29.40213376,29.85254777,30.39764331,31.13063694,31.37923567
Uganda,Apac,Kwania,UGA.2.2_1,31.25327986,31.64132501,32.36113488,33.77791444,34.04460487,35.07326797,34.54193108,34.8326025,35.34145573,34.6955615,33.64149138,32.55956625,32.63737968,30.3471836,30.17627451,29.51909091,29.25934046,29.06818182,28.70002971,28.79248366,28.35112894,27.7816934,28.28969103,27.9188057,28.27761735,28.44988116,28.01311349,28.51198455,28.30145573,28.69503862,28.91780749,28.72914439,28.80588829,28.72389186,29.1948366,29.13254308,28.53038027,28.09484848,28.12462864,28.12980986,28.30233512,28.64431967,29.14174094,29.43262626,30.06649436,30.28310755
Uganda,Apac,Maruzi,UGA.2.3_1,30.95269663,31.43640449,32.39561798,33.62722846,33.94011236,35.31048689,34.95756554,34.91080524,35.66241573,34.9579588,33.56505618,32.29447566,31.71891386,29.76125468,29.33355805,28.60256554,28.67696629,28.67516854,28.27074906,28.10769663,27.90138577,27.38086142,28.05805243,27.79299625,27.83273408,27.87183521,27.79378277,28.07992509,27.86318352,28.25389513,28.15007491,28.04734082,28.17149813,28.22876404,28.26470037,28.35883895,27.88104869,27.64041199,27.56331461,27.68662921,27.5926779,28.10391386,28.27033708,28.70282772,29.55134831,30.15383895
Uganda,Apac,Oyam,UGA.2.4_1,31.97707632,32.74570254,33.2387593,34.9889589,35.06601566,36.44054403,35.71299804,36.41918982,36.82254012,36.17865753,34.43187084,33.40906067,33.04948337,31.2455225,30.30405871,29.57419569,29.19182387,29.21136204,28.79924462,28.35033659,28.15154207,27.77649706,28.0968728,27.9076908,28.15777299,28.34764384,28.08663405,28.32591389,28.1120274,28.49446184,28.67030528,28.99562818,28.68007436,29.16239139,29.45903327,28.93995695,28.81609002,28.18892759,27.98944423,28.2007319,28.26000391,28.86559295,29.22520157,29.80135812,30.36924853,30.85278669
Uganda,Arua,Arua Municipality,UGA.3.1_1,32.06492788,32.31939904,32.70439904,33.84723558,34.11706731,34.69961538,34.43213942,34.70461538,35.81685096,34.31584135,34.10245192,33.82192308,34.03007212,32.90790865,32.05247596,33.42620192,31.75528846,31.83213942,30.34658654,30.77257212,29.39701923,28.62747596,28.78858173,28.54382212,28.17418269,28.33992788,28.30425481,28.19038462,28.95237981,28.42711538,29.71033654,29.69490385,30.22798077,30.03819712,30.41269231,30.14300481,29.50295673,29.58338942,29.45665865,28.99146635,29.53831731,29.07622596,30.21,30.54646635,30.88954327,31.03550481
Uganda,Arua,Ayivu,UGA.3.2_1,32.69176339,33.07274554,33.47040179,34.50495536,34.68303571,35.48964286,34.88665179,35.54964286,36.05660714,35.08339286,33.83386161,34.00611607,34.09330357,32.96799107,31.69723214,32.54370536,31.35676339,31.3815625,30.02026786,30.38575893,29.02848214,28.42013393,28.46428571,28.22841518,27.89080357,27.945625,27.47696429,27.82767857,27.93424107,27.80408482,28.30381696,28.77705357,29.03296875,29.04857143,29.36334821,29.06582589,28.47339286,28.4446875,28.58113839,28.30745536,28.74622768,28.87955357,29.85783482,30.64845982,31.08285714,31.71839286
Uganda,Arua,Koboko,UGA.3.3_1,32.20297052,32.81664399,33.40811791,34.32142857,34.73945578,35.81192744,35.42882086,35.3621542,36.35117914,34.86102041,34.25151927,33.97045351,33.05875283,32.20628118,31.08442177,31.28090703,30.5184127,29.95190476,29.11301587,28.73312925,27.54863946,27.16811791,27.2722449,27.26170068,26.92628118,26.96687075,26.89002268,27.37371882,27.04446712,27.51544218,27.82836735,27.87029478,28.29222222,28.19634921,28.26886621,28.26959184,27.97780045,27.63739229,28.11117914,27.89235828,28.29764172,28.60963719,29.25730159,30.08147392,30.45621315,31.22743764
Uganda,Arua,Madi-Okollo,UGA.3.4_1,34.22078131,35.03506821,36.04156676,37.26250103,37.25859859,38.26142621,38.21727573,38.7023026,39.489074,38.29056222,36.95692021,36.89408433,36.14746176,34.62339396,32.99415874,33.04555188,32.34231914,32.22134353,31.7779537,31.46625465,30.43300124,29.42359239,29.65869781,29.60512195,29.5533981,29.59262092,29.11602728,28.77231501,29.32411327,28.98496486,29.30916494,29.69243076,29.66980984,29.85256304,29.80993386,29.62390657,29.06880116,28.92031005,29.18858619,29.23988012,29.60002894,29.78030178,30.74069864,31.34514675,32.25547334,32.96922282
Uganda,Arua,Maracha,UGA.3.5_1,32.77503846,33.21419231,33.77526923,34.68511538,34.89684615,35.88788462,34.99926923,35.63392308,36.27725,35.02496154,33.7075,33.92073077,33.69667308,32.78069231,32.10919231,32.68334615,31.6545,31.09442308,29.85692308,30.2275,28.84603846,28.43394231,28.16803846,28.16284615,27.93553846,27.79653846,27.52561538,27.66542308,27.91840385,28.30576923,28.45317308,28.74890385,28.72671154,29.12059615,29.25257692,29.25969231,28.58734615,28.34405769,28.68582692,28.42388462,28.97167308,29.10953846,30.18253846,30.76576923,31.42207692,31.78773077
Uganda,Arua,Terego,UGA.3.6_1,34.89888213,35.3745019,36.40893536,37.52467681,37.45641825,38.56571103,38.13985551,38.53288973,39.28370342,37.86968061,36.66374905,36.31518631,35.91810646,34.68519392,33.77039544,33.64823574,33.01222053,32.78155894,32.07034981,32.18657795,30.76440304,29.79415209,29.75205323,29.85879087,29.50028137,29.34228897,28.74134601,28.57532319,29.05906464,29.01471483,29.41486692,29.57851711,29.95491255,29.87202281,29.76984791,29.68279087,29.13775665,28.90344487,29.32653232,29.41237262,29.92336882,30.27460837,31.27573384,32.13815209,32.94003802,33.66411407
