NAME_0,NAME_1,NAME_2,ID_2,Mean_NDVI_001,Mean_NDVI_017,Mean_NDVI_033,Mean_NDVI_049,Mean_NDVI_065,Mean_NDVI_081,Mean_NDVI_097,Mean_NDVI_113,Mean_NDVI_129,Mean_NDVI_145,Mean_NDVI_161,Mean_NDVI_177,Mean_NDVI_193,Mean_NDVI_209,Mean_NDVI_225,Mean_NDVI_241,Mean_NDVI_257,Mean_NDVI_273,Mean_NDVI_289,Mean_NDVI_305,Mean_NDVI_321,Mean_NDVI_337,Mean_NDVI_353
Uganda,Adjumani,East Moyo,UGA.1.1_1,0.512161483,0.441541505,0.426681406,0.425004427,0.45642922,0.526926397,0.620289983,0.712592916,0.750091754,0.765065689,0.754955119,0.75733088,0.757043664,0.75600902,0.762345213,0.75351544,0.744778307,0.725210072,0.714901716,0.707013614,0.680697952,0.639975429,0.563919646
Uganda,Apac,Kole,UGA.2.1_1,0.578017954,0.503184873,0.463698487,0.421572532,0.432853503,0.492334554,0.556648328,0.636043631,0.686024761,0.698499204,0.686036146,0.682470143,0.687484076,0.695459236,0.685330732,0.683476513,0.689082006,0.699439968,0.726513694,0.740810111,0.728923089,0.684664809,0.617168153
Uganda,Apac,Kwania,UGA.2.2_1,0.497877362,0.43411022,0.399835948,0.36743672,0.386455377,0.443531907,0.505603506,0.563973737,0.598156922,0.600714914,0.580604397,0.565040166,0.556322757,0.56514694,0.562916162,0.567963102,0.568390255,0.598595722,0.623704932,0.638903149,0.628268152,0.590445039,0.537465835
Uganda,Apac,Maruzi,UGA.2.3_1,0.572120833,0.493764513,0.458569757,0.425848455,0.452154213,0.528542509,0.610228464,0.682620974,0.710832444,0.705795037,0.677813202,0.660730337,0.642659082,0.657634738,0.66098118,0.669139981,0.677593586,0.695679541,0.709053043,0.722943024,0.713051592,0.682828699,0.618648361
Uganda,Apac,Oyam,UGA.2.4_1,0.584645597,0.507831703,0.465586575,0.433499883,0.451921174,0.521857065,0.597377143,0.668842427,0.708245949,0.722902466,0.709931898,0.702114834,0.694040157,0.702264892,0.703665519,0.701940822,0.705667006,0.715011115,0.736254247,0.748002818,0.737166419,0.696849002,0.631174481
Uganda,Arua,Arua Municipality,UGA.3.1_1,0.46649387,0.410202284,0.394615805,0.38563155,0.396157512,0.443157332,0.482395553,0.50234979,0.530832692,0.546525781,0.572083714,0.574373077,0.570678185,0.570691526,0.571644892,0.577457272,0.577638882,0.571620793,0.589177644,0.595175,0.578532692,0.557739243,0.493940745
Uganda,Arua,Ayivu,UGA.3.2_1,0.509770089,0.447245033,0.421279688,0.408474163,0.422095201,0.478526563,0.533516853,0.575985938,0.606589955,0.619367355,0.637042243,0.645307031,0.640156138,0.64766317,0.656217411,0.66217221,0.66065,0.662129129,0.672379576,0.680308761,0.660917634,0.624649163,0.553936272
Uganda,Arua,Koboko,UGA.3.3_1,0.506498413,0.441598214,0.416969161,0.409832285,0.452483588,0.518702381,0.593351814,0.639659184,0.687957993,0.705738549,0.704348243,0.713160544,0.718285147,0.722145918,0.7235661,0.723413435,0.714598413,0.710528345,0.708493991,0.717978118,0.69245034,0.645827891,0.562259014
Uganda,Arua,Madi-Okollo,UGA.3.4_1,0.476591815,0.40799136,0.390739107,0.375500868,0.400059363,0.457109797,0.538645721,0.617425424,0.651554775,0.659628359,0.66231699,0.66231265,0.655702108,0.676906077,0.684483588,0.68622315,0.690704175,0.691297437,0.691334022,0.684506821,0.655532617,0.616632741,0.532494171
Uganda,Arua,Maracha,UGA.3.5_1,0.508171058,0.446155048,0.415861154,0.396701538,0.416399856,0.467999808,0.528885337,0.566280385,0.607491923,0.631632548,0.644173942,0.650989952,0.652615673,0.659346731,0.659522019,0.661638077,0.666320288,0.667786923,0.682535962,0.685069712,0.66478476,0.625202596,0.55669
