NAME_0,NAME_1,NAME_2,ID_2,Mean_LST_001,Mean_LST_009,Mean_LST_017,Mean_LST_025,Mean_LST_033,Mean_LST_041,Mean_LST_049,Mean_LST_057,Mean_LST_065,Mean_LST_073,Mean_LST_081,Mean_LST_089,Mean_LST_097,Mean_LST_105,Mean_LST_113,Mean_LST_121,Mean_LST_129,Mean_LST_137,Mean_LST_145,Mean_LST_153,Mean_LST_161,Mean_LST_169,Mean_LST_177,Mean_LST_185,Mean_LST_193,Mean_LST_201,Mean_LST_209,Mean_LST_217,Mean_LST_225,Mean_LST_233,Mean_LST_241,Mean_LST_249,Mean_LST_257,Mean_LST_265,Mean_LST_273,Mean_LST_281,Mean_LST_289,Mean_LST_297,Mean_LST_305,Mean_LST_313,Mean_LST_321,Mean_LST_329,Mean_LST_337,Mean_LST_345,Mean_LST_353,Mean_LST_361
Uganda,Adjumani,East Moyo,UGA.1.1_1,28.53524626,28.69314333,29.37174875,28.43311013,30.90857222,31.35094079,31.11581074,31.46064748,32.92820697,28.56634754,29.15614278,29.05626453,26.85610957,26.89285556,26.24488655,26.02762037,25.72205313,25.3720808,25.36074709,25.27465966,24.19755949,23.80408965,24.37721638,23.36493082,23.55981738,23.9200166,24.26361372,24.33878805,24.17429441,24.48802988,24.99067515,25.06514112,25.40072496,25.00032651,25.63899834,25.27824571,25.13064195,25.11811289,25.39685113,25.12962369,24.92285003,26.32559491,26.41896514,26.11645268,26.8860819,26.62832872
Uganda,Apac,Kole,UGA.2.1_1,27.2556051,27.99420382,28.58764331,26.82694268,28.13433121,29.22802548,29.6606051,29.31808917,30.21050955,30.13808917,27.83359873,28.87452229,28.00617834,26.84898089,26.97248408,25.82968153,26.17888535,26.25929936,26.16458599,26.0333121,24.58605096,24.21044586,24.83936306,24.92853503,25.88296178,25.31767516,24.98726115,25.28522293,24.0333758,26.13025478,26.65449045,26.17414013,27.0555414,26.18496815,26.2856051,26.42063694,25.77041401,25.86006369,25.08707006,25.31095541,24.31356688,25.91235669,25.71171975,25.92853503,25.07802548,24.99624204
Uganda,Apac,Kwania,UGA.2.2_1,26.96712418,26.56584076,27.34944147,25.90506833,27.23360071,29.03191325,28.94815805,27.92087344,28.57392157,27.40828877,26.95695187,27.95849673,26.8254486,25.58554367,26.07554961,25.25042781,25.39545455,25.30830065,25.41565657,25.09275698,23.56961973,24.28672014,25.24914439,24.6464587,25.28210933,24.8289899,24.17796197,24.57981581,23.69159239,24.90566251,25.58138443,25.11566845,25.87721331,25.14998812,25.40458111,25.31001188,24.74504456,25.1283363,24.00161022,24.6919489,24.01427807,24.96363042,24.44795603,24.66749257,24.516429,23.89261438
Uganda,Apac,Maruzi,UGA.2.3_1,25.90322097,26.34910112,27.10333333,25.24794007,27.54928839,28.22595506,28.33689139,28.16573034,29.18981273,26.93726592,27.09385768,26.87805243,25.87483146,24.35048689,25.53198502,24.55249064,25.49209738,25.11775281,25.12262172,23.61825843,22.57533708,23.39625468,24.79357678,24.44685393,24.5697191,24.20460674,24.05621723,24.07554307,23.83505618,24.96404494,24.6241573,24.47775281,25.35059925,25.02220974,24.63794007,24.91614232,23.7788764,24.21764045,23.55717228,23.76565543,23.61297753,24.38687266,23.81464419,24.12262172,24.68801498,23.70406367
Uganda,Apac,Oyam,UGA.2.4_1,27.09554207,27.85007828,27.89648141,28.0822818,28.44931115,28.38800391,28.79767906,29.20021526,29.97106458,28.5401135,27.72906067,27.72978082,27.16113894,26.89878278,26.15495499,25.7036047,26.16560078,25.8582818,26.00600783,25.06269667,24.4157456,24.08641487,24.99678669,24.60884149,25.60813699,25.51940117,24.91246575,25.16652446,24.26457534,25.49516634,25.93020352,25.37120548,26.35763209,26.20210959,26.17809393,25.83179256,25.5624227,25.60362818,24.17709198,25.26449706,24.56231311,25.43730333,25.43814873,25.6469002,25.38022309,25.21349119
Uganda,Arua,Arua Municipality,UGA.3.1_1,27.96846154,27.55153846,28.58384615,28.05307692,28.53,30.14538462,27.41,29.66076923,29.53153846,27.95307692,29.13461538,30.52230769,29.27,28.42846154,28.25307692,28.34230769,27.10538462,27.11615385,25.84076923,27.28076923,25.96384615,25.25923077,26.49461538,25.70384615,23.30538462,25.59615385,25.67307692,24.49769231,25.31615385,25.69923077,26.76384615,25.87153846,27.22538462,26.72846154,27.09615385,25.82692308,26.37461538,26.32692308,26.57923077,25.75153846,25.96692308,25.74692308,27.60076923,27.21769231,27.61615385,26.33307692
Uganda,Arua,Ayivu,UGA.3.2_1,28.94290179,28.88388393,28.82495536,28.80232143,29.02383929,30.06174107,28.4125,30.99767857,29.01611607,27.87459821,28.88116071,28.35825893,28.87540179,28.22892857,26.42383929,27.8121875,26.85138393,27.39808036,25.92022321,26.37214286,25.59875,25.45897321,25.69267857,25.22955357,24.09924107,24.83308036,24.41227679,25.13450893,24.81919643,24.6734375,24.6709375,25.37370536,25.96508929,25.96165179,26.49995536,25.42504464,25.82821429,25.35848214,25.63267857,25.063125,25.11308036,25.84598214,26.67040179,26.7684375,27.6434375,26.87401786
Uganda,Arua,Koboko,UGA.3.3_1,29.04861678,29.61478458,29.52115646,28.39965986,29.83954649,30.19705215,29.65079365,30.8385941,31.64668934,29.78943311,27.83580499,28.94512472,26.93714286,27.20891156,26.04324263,27.02596372,27.0477551,26.43462585,25.75063492,25.41709751,24.40578231,23.77582766,24.25789116,24.29904762,23.59639456,24.17058957,23.78201814,23.65566893,23.72240363,24.99353741,25.26564626,24.60675737,25.63507937,25.23290249,25.5992517,25.19489796,25.07804989,24.95723356,25.30804989,25.15117914,25.46353741,25.29045351,26.34718821,26.32743764,26.78718821,27.00138322
Uganda,Arua,Madi-Okollo,UGA.3.4_1,28.70359239,30.19680446,30.13687888,29.63584539,30.94071517,32.06898305,31.03906986,32.55248863,33.5536296,31.6709012,30.35895411,30.61271186,27.4843117,28.82516329,27.31796197,27.54698222,27.57178586,28.17448119,27.39035552,26.36675899,26.51253824,25.51126499,26.13572137,25.75023977,25.26987598,25.08669285,25.65548987,25.65664737,25.81737495,25.41188508,26.1900248,26.08518809,26.51809425,26.57014882,26.68140141,26.38296403,26.50562629,26.36424556,26.34546093,26.31953286,26.43161224,26.0881976,27.38053328,27.43999587,28.33921042,27.28277387
Uganda,Arua,Maracha,UGA.3.5_1,29.71769231,28.85484615,29.84869231,29.05811538,29.32857692,29.54338462,28.05711538,31.38080769,30.76292308,28.65876923,27.81653846,28.32211538,28.1425,27.97180769,27.28311538,28.17607692,27.53746154,27.60123077,25.73396154,26.37019231,25.24626923,24.67757692,25.14957692,25.58823077,24.369,24.55642308,23.99111538,24.74946154,24.544,24.995,24.72719231,25.37176923,25.76234615,25.94988462,26.16546154,25.88903846,25.60938462,24.36138462,25.42711538,25.25130769,25.27284615,25.421,26.87069231,26.89334615,28.28796154,27.08723077
