NAME_0,NAME_1,NAME_2,ID_2,Mean_NDVI_001,Mean_NDVI_017,Mean_NDVI_033,Mean_NDVI_049,Mean_NDVI_065,Mean_NDVI_081,Mean_NDVI_097,Mean_NDVI_113,Mean_NDVI_129,Mean_NDVI_145,Mean_NDVI_161,Mean_NDVI_177,Mean_NDVI_193,Mean_NDVI_209,Mean_NDVI_225,Mean_NDVI_241,Mean_NDVI_257,Mean_NDVI_273,Mean_NDVI_289,Mean_NDVI_305,Mean_NDVI_321,Mean_NDVI_337,Mean_NDVI_353
Uganda,Adjumani,East Moyo,UGA.1.1_1,0.356527338,0.333945628,0.321043581,0.316111455,0.350949142,0.382157028,0.444936248,0.525258827,0.613036525,0.674011179,0.662547869,0.655832097,0.604980022,0.52779098,0.67416104,0.658260708,0.65752933,0.558787327,0.573090537,0.605387106,0.588515993,0.509374433,0.397092335
Uganda,Apac,Kole,UGA.2.1_1,0.418785589,0.358919427,0.332649522,0.316268073,0.325788615,0.313825717,0.361288615,0.385636624,0.562495939,0.598448487,0.589610191,0.573727468,0.579529538,0.572972134,0.577298487,0.552855653,0.581374682,0.598383838,0.585170303,0.651534475,0.642834554,0.56436449,0.462216003
Uganda,Apac,Kwania,UGA.2.2_1,0.316382294,0.276835413,0.252197326,0.245983185,0.249174034,0.23644694,0.275592929,0.314435829,0.437737968,0.462686869,0.450458586,0.430913725,0.382499703,0.372364468,0.375332799,0.385496791,0.425484314,0.467185977,0.459240523,0.492048307,0.461295247,0.437310339,0.354920083
Uganda,Apac,Maruzi,UGA.2.3_1,0.355520178,0.327707116,0.303269897,0.298338764,0.306020927,0.297891807,0.361122331,0.462062828,0.579528792,0.586130993,0.543346161,0.507864794,0.444092416,0.434535581,0.470338764,0.499234129,0.533111283,0.563888483,0.514652154,0.563982116,0.574336096,0.514325468,0.3870978
Uganda,Apac,Oyam,UGA.2.4_1,0.407051155,0.360405362,0.335868689,0.326740235,0.337054716,0.338839335,0.388127476,0.464121409,0.582191898,0.635345323,0.629643679,0.598177104,0.571049393,0.583146575,0.592360939,0.584827867,0.602625166,0.607441683,0.607879256,0.650969706,0.645097613,0.569312485,0.445732838
Uganda,Arua,Arua Municipality,UGA.3.1_1,0.3724,0.337207692,0.317592308,0.310069231,0.307546154,0.331738462,0.367676923,0.350807692,0.395492308,0.459761538,0.476330769,0.481684615,0.429092308,0.366461538,0.455138462,0.463276923,0.439069231,0.430930769,0.418,0.468169231,0.468476923,0.487669231,0.4157
Uganda,Arua,Ayivu,UGA.3.2_1,0.411591964,0.372751786,0.343109375,0.341295089,0.331990179,0.340958929,0.386494866,0.420848438,0.451033482,0.515582366,0.49548125,0.546579241,0.39026942,0.372298884,0.506773884,0.547318304,0.534089286,0.56796317,0.515635938,0.611254688,0.583717857,0.536804464,0.442064732
Uganda,Arua,Koboko,UGA.3.3_1,0.394089456,0.364034921,0.340849433,0.327466667,0.346439002,0.375017914,0.438414172,0.404376531,0.565693311,0.6108,0.521367687,0.593866327,0.51265068,0.515618594,0.5700339,0.613351247,0.602577778,0.604482313,0.473139456,0.63173288,0.616430726,0.538164966,0.426375283
Uganda,Arua,Madi-Okollo,UGA.3.4_1,0.339968169,0.308808971,0.285562092,0.275332327,0.286189706,0.291196693,0.329829558,0.405063911,0.440441587,0.484827491,0.503686895,0.491639066,0.440559033,0.466066474,0.53806668,0.54224721,0.542957999,0.529574246,0.577012112,0.599854237,0.537003307,0.481194915,0.37759012
Uganda,Arua,Maracha,UGA.3.5_1,0.413085577,0.370477308,0.338560385,0.323647692,0.323492692,0.343990192,0.390122308,0.405098462,0.471321346,0.529949808,0.514106538,0.570188654,0.455828462,0.479253654,0.503901538,0.563399231,0.561041346,0.572264615,0.546052115,0.600986538,0.601132692,0.526546731,0.442558077
Uganda,Arua,Terego,UGA.3.6_1,0.342997795,0.313883194,0.290491331,0.277251179,0.288453308,0.294072015,0.352264867,0.402614373,0.46743346,0.49500943,0.493811407,0.509268061,0.467253764,0.457045703,0.553048365,0.581217567,0.574943194,0.599335057,0.613720837,0.623427148,0.56039346,0.460297947,0.368774449
Uganda,Arua,Vurra,UGA.3.7_1,0.413242572,0.374365854,0.351956098,0.327436031,0.3598398,0.37132561,0.41897949,0.486850333,0.537125831,0.608667738,0.582625388,0.596836696,0.550476275,0.41051031,0.515690133,0.552818182,0.581521508,0.536513636,0.543367849,0.60967439,0.610851663,0.559838248,0.449774279
Uganda,Bugiri,Bukooli,UGA.4.1_1,0.409482988,0.376407283,0.373051196,0.352133227,0.35635848,0.395290112,0.471980914,0.57385311,0.59646571,0.615580861,0.560214833,0.518127539,0.47651159,0.439866932,0.463158161,0.442457788,0.451472408,0.496477352,0.519732855,0.537060021,0.56790622,0.509720096,0.449152047
Uganda,Bundibugyo,Bwamba,UGA.5.1_1,0.459775897,0.424397949,0.417364308,0.321862051,0.473118667,0.458683179,0.461867282,0.424321333,0.361248513,0.458211385,0.386188821,0.443155897,0.413324103,0.368351487,0.308694872,0.47630359,0.452855179,0.380611077,0.245089744,0.354957436,0.218176,0.453412103,0.481464205
Uganda,Bundibugyo,Ntoroko,UGA.5.2_1,0.32497466,0.302692627,0.29335884,0.24828912,0.313563851,0.344795347,0.355919757,0.388905512,0.497696421,0.513897065,0.483829921,0.472940802,0.449204009,0.42378554,0.453053686,0.434374517,0.448181102,0.424282534,0.368537437,0.503607087,0.420240515,0.448252756,0.358359986
Uganda,Bushenyi,Buhweju,UGA.6.1_1,0.481599845,0.191952322,0.430940557,0.227062539,0.269041641,0.336684365,0.342316099,0.354585294,0.340693189,0.470305418,0.556703715,0.577540402,0.536983282,0.404395356,0.452074768,0.431712848,0.488437926,0.461558514,0.161951238,0.149791331,0.150094427,0.31296904,0.458235759
Uganda,Bushenyi,Bunyaruguru,UGA.6.2_1,0.383168681,0.191210879,0.354520275,0.262414505,0.287943681,0.31316467,0.306745824,0.34781022,0.389201264,0.471498462,0.453845495,0.461603681,0.41439033,0.293745,0.388550275,0.355798242,0.410305055,0.379856374,0.287557033,0.302794835,0.254238407,0.443980879,0.392963516
Uganda,Bushenyi,Igara,UGA.6.3_1,0.477350137,0.481701006,0.523260933,0.485613998,0.231085819,0.419756633,0.403995974,0.356525526,0.419116194,0.577465599,0.587439341,0.630680329,0.612538884,0.499080421,0.53797731,0.490746661,0.559048033,0.446439616,0.293186551,0.207433943,0.215356633,0.431490393,0.47229753
Uganda,Bushenyi,Ruhinda,UGA.6.4_1,0.438761076,0.583851424,0.553688924,0.462985285,0.35682769,0.491721677,0.498835443,0.402984968,0.553301108,0.624477373,0.54281962,0.565401424,0.534938291,0.504759652,0.483125475,0.487704114,0.552581171,0.35717769,0.348642405,0.254494146,0.217406962,0.430875791,0.382108386
Uganda,Bushenyi,Sheema,UGA.6.5_1,0.559877333,0.431376121,0.549586303,0.403834424,0.331013818,0.444758061,0.354668485,0.325659273,0.373274424,0.526884364,0.589980727,0.55294497,0.530977576,0.497570303,0.442570788,0.492733576,0.499969576,0.407247879,0.310041212,0.303422667,0.268047273,0.425901939,0.496855879
Uganda,Busia,Samia-Bugwe,UGA.7.1_1,0.458724033,0.425396835,0.418805627,0.399848769,0.386112778,0.392912309,0.521300117,0.625089683,0.624008206,0.662737632,0.630387808,0.601890035,0.539859906,0.522680891,0.516746542,0.512969871,0.545457913,0.5751551,0.593398242,0.582920399,0.625583353,0.585919812,0.485718288
Uganda,Gulu,Aswa,UGA.8.1_1,0.317781065,0.298093123,0.305261423,0.307759256,0.336000188,0.349470137,0.416585586,0.551236693,0.651055252,0.675336411,0.667656524,0.659237164,0.610492699,0.61257414,0.656222892,0.635279793,0.636156571,0.578147527,0.609312341,0.598349411,0.564939567,0.45511479,0.333797127
Uganda,Gulu,Gulu,UGA.8.2_1,0.389333333,0.368463492,0.34284127,0.318398413,0.33082381,0.32832381,0.332246032,0.411392063,0.505811111,0.539460317,0.549634921,0.55387619,0.524326984,0.378506349,0.553834921,0.523668254,0.529288889,0.539636508,0.578614286,0.491231746,0.576366667,0.513060317,0.42862381
Uganda,Gulu,Kilak,UGA.8.3_1,0.331138855,0.315578322,0.306775683,0.3042082,0.335182469,0.358915269,0.439554571,0.515830679,0.635775353,0.670843544,0.643771254,0.640946466,0.584446607,0.556097738,0.64865443,0.63298525,0.629610462,0.551711027,0.568898303,0.592718332,0.565579359,0.485783883,0.353976013
Uganda,Gulu,Nwoya,UGA.8.4_1,0.336755778,0.314732558,0.306545331,0.303831628,0.341020143,0.377141038,0.455909696,0.480880072,0.627857317,0.651726798,0.606490877,0.595623148,0.571223757,0.541685367,0.594713846,0.554176959,0.596024758,0.50267653,0.549163649,0.561778032,0.559690018,0.493578748,0.369952844
Uganda,Gulu,Omoro,UGA.8.5_1,0.360794549,0.347960658,0.340019482,0.332872693,0.357977982,0.36504884,0.435360227,0.538273179,0.630681651,0.676977442,0.668072585,0.664437399,0.638209336,0.635941608,0.642469941,0.628254668,0.654526444,0.606377118,0.601721047,0.618720345,0.649953157,0.540952132,0.386596816
Uganda,Hoima,Bugahya,UGA.9.1_1,0.445733502,0.38524955,0.373528547,0.33481295,0.37245214,0.367559065,0.498922297,0.457202872,0.588483615,0.644690822,0.576055518,0.570966441,0.508972804,0.309539245,0.459209178,0.392887725,0.523718131,0.36525,0.385395101,0.508003322,0.504049324,0.579541554,0.491927928
Uganda,Hoima,Buhaguzi,UGA.9.2_1,0.472004435,0.414753387,0.432704677,0.366517258,0.432340363,0.426395403,0.539551048,0.562925403,0.652018871,0.680018548,0.641229274,0.608691694,0.555670605,0.429721089,0.474515202,0.394264597,0.533749274,0.390178629,0.369260806,0.503254032,0.489546935,0.625650927,0.564096169
Uganda,Iganga,Bugweri,UGA.10.1_1,0.427419326,0.388252809,0.404173933,0.370821124,0.385564494,0.442675281,0.529859775,0.598854382,0.590665169,0.618155281,0.584487416,0.57481191,0.535659551,0.507562247,0.522338876,0.500183596,0.525157079,0.537811685,0.573295281,0.58352382,0.571488989,0.494747865,0.476485169
Uganda,Iganga,Busiki,UGA.10.2_1,0.426173877,0.388661129,0.385375235,0.36926907,0.371200209,0.400226123,0.453961651,0.533175862,0.591937409,0.603880042,0.580530408,0.565096029,0.519530303,0.475478788,0.502812539,0.498988819,0.531714211,0.536929363,0.530425078,0.545561442,0.549750575,0.502537513,0.475809822
Uganda,Iganga,Kigulu,UGA.10.3_1,0.447393432,0.406341287,0.399674799,0.364349062,0.39203378,0.430651475,0.530468633,0.616690885,0.632137802,0.65263244,0.617877078,0.590914075,0.548982842,0.511918499,0.527728418,0.498181367,0.56194437,0.558615416,0.573930831,0.495437399,0.589885657,0.471078686,0.49704008
Uganda,Iganga,Luuka,UGA.10.4_1,0.461986894,0.418360157,0.407953997,0.322410485,0.427367104,0.414661992,0.487695413,0.560460813,0.607691874,0.663781258,0.612449541,0.596922674,0.536926081,0.503022412,0.537104718,0.506248493,0.573180865,0.551782307,0.533024246,0.514839056,0.586820577,0.496354653,0.510713893
